TRACK,STRATA
1,1.0 x 0+treatment()+status(N)+origin(treated)+statecode(EM)+au(cwh_vm_2_hw_cw)+auf(cwh_vm_2_hw_cw)+oper(Operable)+ct(N)+aux(1070)+hasnatcurve(Y):R
2,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(EM)+au(cwh_vm_2_hw_cw)+auf(cwh_vm_2_hw_cw)+oper(Operable)+ct(N)+aux(1070)+hasnatcurve(Y)
3,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(FM)+au(cwh_vm_2_hw_cw)+auf(cwh_vm_2_hw_cw)+oper(Operable)+ct(N)+aux(1070)+hasnatcurve(Y)
4,1.0 x 0+treatment()+status(N)+origin(treated)+statecode(EM)+au(cwh_dm_x_dr_cw)+auf(cwh_dm_x_dr_cw)+oper(Operable)+ct(Y)+aux(266)+hasnatcurve(N):R
5,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(EM)+au(cwh_dm_x_dr_cw)+auf(cwh_dm_x_dr_cw)+oper(Operable)+ct(Y)+aux(266)+hasnatcurve(N)
6,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(FM)+au(cwh_dm_x_dr_cw)+auf(cwh_dm_x_dr_cw)+oper(Operable)+ct(Y)+aux(266)+hasnatcurve(N)
8,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(FM)+au(thn_cwh_dm_x_dr_cw)+auf(cwh_dm_x_dr_cw)+oper(Operable)+ct(Y)+aux(266)+hasnatcurve(N)
7,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(EM)+au(thn_cwh_dm_x_dr_cw)+auf(cwh_dm_x_dr_cw)+oper(Operable)+ct(Y)+aux(266)+hasnatcurve(N)
9,1.0 x 0+treatment()+status(N)+origin(treated)+statecode(EM)+au(cwh_dm_x_cw_fdc)+auf(cwh_dm_x_cw_fdc)+oper(Reserve)+ct(N)+aux(1)+hasnatcurve(Y)
10,1.0 x 0+treatment()+status(N)+origin(treated)+statecode(EM)+au(cwh_vm_1_fdc_x)+auf(cwh_vm_1_fdc_x)+oper(Reserve)+ct(N)+aux(1043)+hasnatcurve(N)
11,1.0 x 0+treatment()+status(N)+origin(treated)+statecode(EM)+au(cwh_vm_1_hw_cw)+auf(cwh_vm_1_hw_cw)+oper(Operable)+ct(Y)+aux(177)+hasnatcurve(Y):R
12,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(EM)+au(cwh_vm_1_hw_cw)+auf(cwh_vm_1_hw_cw)+oper(Operable)+ct(Y)+aux(177)+hasnatcurve(Y)
13,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(FM)+au(cwh_vm_1_hw_cw)+auf(cwh_vm_1_hw_cw)+oper(Operable)+ct(Y)+aux(177)+hasnatcurve(Y)
15,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(FM)+au(thn_cwh_vm_1_hw_cw)+auf(cwh_vm_1_hw_cw)+oper(Operable)+ct(Y)+aux(177)+hasnatcurve(Y)
14,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(EM)+au(thn_cwh_vm_1_hw_cw)+auf(cwh_vm_1_hw_cw)+oper(Operable)+ct(Y)+aux(177)+hasnatcurve(Y)
16,1.0 x 0+treatment()+status(N)+origin(treated)+statecode(EM)+au(cwh_vm_1_dr_hw)+auf(cwh_vm_1_dr_hw)+oper(Operable)+ct(Y)+aux(134)+hasnatcurve(N):R
17,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(EM)+au(cwh_vm_1_dr_hw)+auf(cwh_vm_1_dr_hw)+oper(Operable)+ct(Y)+aux(134)+hasnatcurve(N)
18,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(FM)+au(cwh_vm_1_dr_hw)+auf(cwh_vm_1_dr_hw)+oper(Operable)+ct(Y)+aux(134)+hasnatcurve(N)
20,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(FM)+au(thn_cwh_vm_1_dr_hw)+auf(cwh_vm_1_dr_hw)+oper(Operable)+ct(Y)+aux(134)+hasnatcurve(N)
19,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(EM)+au(thn_cwh_vm_1_dr_hw)+auf(cwh_vm_1_dr_hw)+oper(Operable)+ct(Y)+aux(134)+hasnatcurve(N)
21,1.0 x 0+treatment()+status(N)+origin(treated)+statecode(EM)+au(cwh_vm_2_cw_hw)+auf(cwh_vm_2_cw_hw)+oper(Operable)+ct(Y)+aux(92)+hasnatcurve(Y):R
22,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(EM)+au(cwh_vm_2_cw_hw)+auf(cwh_vm_2_cw_hw)+oper(Operable)+ct(Y)+aux(92)+hasnatcurve(Y)
23,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(FM)+au(cwh_vm_2_cw_hw)+auf(cwh_vm_2_cw_hw)+oper(Operable)+ct(Y)+aux(92)+hasnatcurve(Y)
25,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(FM)+au(thn_cwh_vm_2_cw_hw)+auf(cwh_vm_2_cw_hw)+oper(Operable)+ct(Y)+aux(92)+hasnatcurve(Y)
24,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(EM)+au(thn_cwh_vm_2_cw_hw)+auf(cwh_vm_2_cw_hw)+oper(Operable)+ct(Y)+aux(92)+hasnatcurve(Y)
26,1.0 x 0+treatment()+status(N)+origin(treated)+statecode(EM)+au(cwh_vm_1_cw_hw)+auf(cwh_vm_1_cw_hw)+oper(Operable)+ct(Y)+aux(285)+hasnatcurve(Y):R
27,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(EM)+au(cwh_vm_1_cw_hw)+auf(cwh_vm_1_cw_hw)+oper(Operable)+ct(Y)+aux(285)+hasnatcurve(Y)
28,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(FM)+au(cwh_vm_1_cw_hw)+auf(cwh_vm_1_cw_hw)+oper(Operable)+ct(Y)+aux(285)+hasnatcurve(Y)
30,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(FM)+au(thn_cwh_vm_1_cw_hw)+auf(cwh_vm_1_cw_hw)+oper(Operable)+ct(Y)+aux(285)+hasnatcurve(Y)
29,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(EM)+au(thn_cwh_vm_1_cw_hw)+auf(cwh_vm_1_cw_hw)+oper(Operable)+ct(Y)+aux(285)+hasnatcurve(Y)
31,1.0 x 0+treatment()+status(N)+origin(treated)+statecode(EM)+au(cwh_vm_1_hw_cw)+auf(cwh_vm_1_hw_cw)+oper(Operable)+ct(Y)+aux(280)+hasnatcurve(Y):R
32,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(EM)+au(cwh_vm_1_hw_cw)+auf(cwh_vm_1_hw_cw)+oper(Operable)+ct(Y)+aux(280)+hasnatcurve(Y)
33,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(FM)+au(cwh_vm_1_hw_cw)+auf(cwh_vm_1_hw_cw)+oper(Operable)+ct(Y)+aux(280)+hasnatcurve(Y)
35,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(FM)+au(thn_cwh_vm_1_hw_cw)+auf(cwh_vm_1_hw_cw)+oper(Operable)+ct(Y)+aux(280)+hasnatcurve(Y)
34,1.0 x 0+treatment()+status(C)+origin(treated)+statecode(EM)+au(thn_cwh_vm_1_hw_cw)+auf(cwh_vm_1_hw_cw)+oper(Operable)+ct(Y)+aux(280)+hasnatcurve(Y)
36,1.0 x 0+treatment()+status(N)+origin(treated)+statecode(EM)+au(cwh_dm_x_cw_hw)+auf(cwh_dm_x_cw_hw)+oper(Operable)+ct(Y)+aux(45)+hasnatcurve(Y):R
